Sales_Order #,Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product_Description,Order_Quantity, Unit_Cost , Unit_Price , Profit , Cost ,Revenue
261745,12/16/2021,16,December,2021,27,Young Adults (25-34),F,France,Seine et Marne,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",1,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00"
261746,12/17/2021,17,December,2021,37,Adults (35-64),F,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",2,"$1,266.00","$2,320.00","$2,108.00","$2,532.00","$4,640.00"
261747,12/17/2021,17,December,2021,31,Young Adults (25-34),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-400-W Silver, 42",1,$420.00,$769.00,$349.00,$420.00,$769.00
261748,12/17/2021,17,December,2021,42,Adults (35-64),F,Germany,Nordrhein-Westfalen,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",1,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00"
261749,12/18/2021,18,December,2021,35,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-500 Silver, 42",4,$308.00,$565.00,"$1,028.00","$1,232.00","$2,260.00"
261750,12/18/2021,18,December,2021,38,Adults (35-64),F,Germany,Nordrhein-Westfalen,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",4,"$1,266.00","$2,320.00","$4,216.00","$5,064.00","$9,280.00"
261751,12/18/2021,18,December,2021,24,Youth (<25),F,France,Seine Saint Denis,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",3,"$1,266.00","$2,320.00","$3,162.00","$3,798.00","$6,960.00"
261752,12/18/2021,18,December,2021,26,Young Adults (25-34),F,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-400-W Silver, 42",3,$420.00,$769.00,"$1,047.00","$1,260.00","$2,307.00"
261753,12/18/2021,18,December,2021,39,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 42",3,"$1,252.00","$2,295.00","$3,129.00","$3,756.00","$6,885.00"
261754,12/18/2021,18,December,2021,26,Young Adults (25-34),M,France,Seine (Paris),Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00"
261755,12/18/2021,18,December,2021,36,Adults (35-64),M,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00"
261756,12/19/2021,19,December,2021,17,Youth (<25),M,France,Nord,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",4,"$1,266.00","$2,320.00","$4,216.00","$5,064.00","$9,280.00"
261757,12/19/2021,19,December,2021,19,Youth (<25),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-500 Black, 44",4,$295.00,$540.00,$980.00,"$1,180.00","$2,160.00"
261758,12/19/2021,19,December,2021,25,Young Adults (25-34),M,France,Seine (Paris),Bikes,Mountain Bikes,"Mountain-200 Black, 38",4,"$1,252.00","$2,295.00","$4,172.00","$5,008.00","$9,180.00"
261759,12/19/2021,19,December,2021,35,Adults (35-64),F,United States,Oregon,Bikes,Mountain Bikes,"Mountain-100 Black, 48",4,"$1,898.00","$3,375.00","$5,908.00","$7,592.00","$13,500.00"
261760,12/19/2021,19,December,2021,37,Adults (35-64),M,United States,Oregon,Bikes,Mountain Bikes,"Mountain-200 Black, 38",4,"$1,252.00","$2,295.00","$4,172.00","$5,008.00","$9,180.00"
261761,12/19/2021,19,December,2021,39,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 46",4,"$1,252.00","$2,295.00","$4,172.00","$5,008.00","$9,180.00"
261762,12/19/2021,19,December,2021,63,Adults (35-64),F,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-200 Black, 46",4,"$1,252.00","$2,295.00","$4,172.00","$5,008.00","$9,180.00"
261763,12/19/2021,19,December,2021,18,Youth (<25),M,Australia,South Australia,Bikes,Mountain Bikes,"Mountain-500 Black, 40",2,$295.00,$540.00,$490.00,$590.00,"$1,080.00"
261764,12/19/2021,19,December,2021,56,Adults (35-64),F,Germany,Hessen,Bikes,Mountain Bikes,"Mountain-200 Black, 46",2,"$1,252.00","$2,295.00","$2,086.00","$2,504.00","$4,590.00"
261765,12/19/2021,19,December,2021,39,Adults (35-64),F,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00"
261766,12/20/2021,20,December,2021,33,Young Adults (25-34),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Black, 38",4,"$1,898.00","$3,375.00","$5,908.00","$7,592.00","$13,500.00"
261767,12/20/2021,20,December,2021,57,Adults (35-64),M,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-200 Black, 46",4,"$1,252.00","$2,295.00","$4,172.00","$5,008.00","$9,180.00"
261768,12/20/2021,20,December,2021,29,Young Adults (25-34),M,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-500 Black, 52",3,$295.00,$540.00,$735.00,$885.00,"$1,620.00"
261769,12/20/2021,20,December,2021,35,Adults (35-64),F,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00"
261770,12/20/2021,20,December,2021,35,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00"
261771,12/21/2021,21,December,2021,26,Young Adults (25-34),M,France,Somme,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",3,"$1,266.00","$2,320.00","$3,162.00","$3,798.00","$6,960.00"
261772,12/21/2021,21,December,2021,23,Youth (<25),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",2,$420.00,$769.00,$698.00,$840.00,"$1,538.00"
261773,12/22/2021,22,December,2021,30,Young Adults (25-34),F,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",3,"$1,266.00","$2,320.00","$3,162.00","$3,798.00","$6,960.00"
261774,12/22/2021,22,December,2021,41,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 42",3,"$1,252.00","$2,295.00","$3,129.00","$3,756.00","$6,885.00"
261775,12/22/2021,22,December,2021,19,Youth (<25),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-500 Silver, 42",1,$308.00,$565.00,$257.00,$308.00,$565.00
261776,12/22/2021,22,December,2021,25,Young Adults (25-34),M,France,Seine (Paris),Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00"
261777,12/22/2021,22,December,2021,27,Young Adults (25-34),F,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00"
261778,12/22/2021,22,December,2021,41,Adults (35-64),M,Germany,Hessen,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00"
261779,12/23/2021,23,December,2021,30,Young Adults (25-34),F,United States,Oregon,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00"
261780,12/23/2021,23,December,2021,31,Young Adults (25-34),F,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-200 Black, 42",1,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00"
261781,12/23/2021,23,December,2021,35,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-500 Black, 42",1,$295.00,$540.00,$245.00,$295.00,$540.00
261782,12/24/2021,24,December,2021,38,Adults (35-64),M,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-200 Black, 42",4,"$1,252.00","$2,295.00","$4,172.00","$5,008.00","$9,180.00"
